FUENTE Seccion Especie LATITUD LONGITUD Elevacion Temperatura  Precipitacion
ANDRES Quercus corrugata 17.74060000000 -96.68000000000 2168 153 1331
ANDRES Quercus corrugata 17.49470000000 -96.37750000000 2254 149 1576
ANDRES Quercus corrugata 17.35360000000 -96.36420000000 1992 155 1231
ANDRES Quercus corrugata 17.59310000000 -96.47640000000 2183 148 1663
ANDRES Quercus corrugata 17.58610000000 -96.38420000000 1854 171 1836
ANDRES Quercus corrugata 17.16000000000 -96.01560000000 2647 115 1867
ANDRES Quercus corrugata 17.24330000000 -96.05220000000 2195 145 1922
ANDRES Quercus corrugata 17.27610000000 -95.99280000000 1998 159 2517
ANDRES Quercus corrugata 18.06900000000 -96.87960000000 2122 158 1566
ANDRES Quercus corrugata 18.16830000000 -97.00310000000 2269 145 1361
ANDRES Quercus corrugata 18.15510000000 -96.97250000000 2207 140 1461
ANDRES Quercus corrugata 17.19670000000 -95.99920000000 2361 133 1873
ANDRES Quercus corrugata 17.19170000000 -95.98140000000 2008 149 2062
ANDRES Quercus corrugata 17.66530000000 -96.56250000000 2391 143 1514
ANDRES Quercus corrugata 17.67310000000 -96.55780000000 2188 139 1578
ANDRES Quercus corrugata 17.66830000000 -96.55670000000 2236 139 1578
ANDRES Quercus corrugata 17.69030000000 -96.55190000000 1836 160 1564
ANTERIOR Quercus corrugata 17.69000000000 -96.55000000000 1706 160 1564
ANTERIOR Quercus corrugata 17.59000000000 -96.47000000000 2105 134 1732
ANTERIOR Quercus corrugata 17.66670000000 -96.55000000000 2156 145 1575
ANTERIOR Quercus corrugata 17.67000000000 -96.56000000000 2264 139 1578
ANTERIOR Quercus corrugata 17.68530000000 -96.57610000000 2373 135 1664
ANDRES Quercus corrugata 17.36580000000 -96.35830000000 1982 171 1288
ANDRES Quercus corrugata 17.31670000000 -96.29610000000 2099 140 1511
ANTERIOR Quercus corrugata 17.36670000000 -96.33330000000 1201 206 1614
ANDRES Quercus corrugata 16.94860000000 -95.82310000000 1515 173 2107
ANDRES Quercus corrugata 16.20080000000 -97.13100000000 1601 200 1277
ANDRES Quercus corrugata 16.20170000000 -96.91350000000 1976 180 1170
ANDRES Quercus deserticola 17.82970000000 -97.22500000000 2001 157 600
ANDRES Quercus deserticola 18.00060000000 -97.34110000000 2397 138 789
ANDRES Quercus deserticola 18.02940000000 -97.27330000000 2238 144 717
ANDRES Quercus deserticola 18.02060000000 -97.55140000000 2452 140 728
ANDRES Quercus deserticola 17.64690000000 -97.14330000000 2043 149 746
ANDRES Quercus deserticola 17.45920000000 -97.06720000000 1966 165 604
ANDRES Quercus deserticola 17.54860000000 -97.35580000000 2209 159 705
ANDRES Quercus deserticola 17.53650000000 -97.43550000000 2401 156 751
ANDRES Quercus deserticola 17.80970000000 -97.55750000000 2384 150 692
ANDRES Quercus deserticola 17.71470000000 -97.63330000000 2102 168 726
ANDRES Quercus deserticola 17.78860000000 -97.52300000000 2312 156 640
ANDRES Quercus deserticola 17.68330000000 -97.42420000000 2401 151 718
ANDRES Quercus deserticola 17.59000000000 -97.40220000000 2601 146 853
ANTERIOR Quercus deserticola 17.50000000000 -97.48330000000 2213 160 739
ANTERIOR Quercus deserticola 18.03330000000 -97.55000000000 2587 141 707
ANTERIOR Quercus deserticola 17.61990000000 -97.41470000000 2466 144 859
ANDRES Quercus deserticola 17.49180000000 -97.35450000000 2288 152 777
ANDRES Quercus frutex 17.66060000000 -97.16610000000 2394 149 746
ANDRES Quercus frutex 17.50290000000 -97.50720000000 2251 151 828
ANDRES Quercus frutex 17.50220000000 -97.46780000000 2201 158 750
ANDRES Quercus frutex 17.71470000000 -97.63330000000 2102 168 726
ANTERIOR Quercus frutex 17.87500000000 -97.36000000000 2201 154 554
ANTERIOR Quercus frutex 17.71670000000 -97.16670000000 2208 150 698
ANTERIOR Quercus frutex 17.50230000000 -97.46780000000 2201 158 750
ANTERIOR Quercus frutex 17.78940000000 -97.59900000000 2398 161 682
ANTERIOR Quercus frutex 17.53660000000 -97.41170000000 2440 147 862
ANTERIOR Quercus frutex 18.06670000000 -97.31670000000 2797 128 1018
ANTERIOR Quercus frutex 17.50090000000 -97.45760000000 2201 159 739
ANTERIOR Quercus frutex 17.50240000000 -97.47100000000 2201 157 767
ANDRES Quercus glabrescens 17.40720000000 -96.50420000000 2914 124 1773
ANDRES Quercus glabrescens 17.34860000000 -96.50080000000 2004 150 1087
ANDRES Quercus glabrescens 17.44560000000 -96.48670000000 2775 118 2118
ANDRES Quercus glabrescens 17.40070000000 -96.50530000000 2792 124 1773
ANDRES Quercus glabrescens 17.47030000000 -96.64810000000 2831 123 1832
ANDRES Quercus glabrescens 17.16420000000 -96.40190000000 2986 110 1458
ANDRES Quercus glabrescens 17.58690000000 -96.58110000000 2180 158 1322
ANDRES Quercus glabrescens 17.16250000000 -96.61080000000 2402 135 1142
ANDRES Quercus glabrescens 17.16190000000 -96.57920000000 2584 138 1106
ANDRES Quercus glabrescens 17.18440000000 -96.46060000000 2807 117 1474
ANDRES Quercus glabrescens 17.19660000000 -96.37880000000 2995 118 1528
ANDRES Quercus glabrescens 17.19610000000 -96.37780000000 2995 112 1578
ANDRES Quercus glabrescens 17.55830000000 -96.55080000000 2201 142 1436
ANDRES Quercus glabrescens 17.21530000000 -96.32780000000 1820 167 1108
ANDRES Quercus glabrescens 16.03080000000 -96.51560000000 1639 192 1172
ANDRES Quercus glabrescens 17.03250000000 -96.06780000000 2399 125 1571
ANDRES Quercus glabrescens 17.17470000000 -96.01150000000 2722 124 1840
ANDRES Quercus glabrescens 17.19030000000 -96.00350000000 2559 120 1885
ANDRES Quercus glabrescens 17.11240000000 -96.00160000000 2783 116 1800
ANDRES Quercus glabrescens 17.18330000000 -95.98640000000 2391 127 1879
ANDRES Quercus glabrescens 17.30920000000 -96.29890000000 2389 134 1579
ANTERIOR Quercus glabrescens 17.25000000000 -96.00000000000 1573 184 2512
ANTERIOR Quercus glabrescens 17.06670000000 -96.71670000000 1601 203 664
ANTERIOR Quercus glabrescens 16.92500000000 -96.34170000000 1856 172 657
ANTERIOR Quercus glabrescens 16.91670000000 -96.33330000000 1801 170 687
ANTERIOR Quercus glabrescens 17.58330000000 -96.55000000000 1918 159 1361
ANTERIOR Quercus glabrescens 18.25720000000 -96.97390000000 0 0 0
ANTERIOR Quercus glabrescens 17.15000000000 -96.00000000000 2691 131 1811
ANTERIOR Quercus glabrescens 17.42680000000 -96.10530000000 2588 128 2123
ANTERIOR Quercus glabrescens 17.30000000000 -96.30000000000 2526 129 1640
ANTERIOR Quercus glabrescens 17.16670000000 -96.58330000000 2591 134 1172
ANTERIOR Quercus glabrescens 17.01670000000 -96.06670000000 2596 124 1565
ANTERIOR Quercus glabrescens 17.55000000000 -96.51670000000 2784 123 2047
ANTERIOR Quercus glabrescens 17.40000000000 -96.48330000000 2804 118 1997
ANTERIOR Quercus glabrescens 17.43330000000 -96.50000000000 2946 113 2340
ANDRES Quercus glaucescens 17.44470000000 -95.82390000000 591 228 3001
ANDRES Quercus glaucescens 17.45600000000 -95.78310000000 321 245 2825
ANDRES Quercus glaucescens 17.52440000000 -96.28610000000 607 238 2993
ANDRES Quercus glaucescens 17.52750000000 -96.26470000000 798 220 2667
ANDRES Quercus glaucescens 16.53470000000 -97.70830000000 1437 202 1930
ANDRES Quercus glaucescens 16.80280000000 -94.98260000000 201 246 1209
ANDRES Quercus glaucescens 16.87940000000 -95.00190000000 201 249 1557
ANDRES Quercus glaucescens 16.90600000000 -94.99880000000 201 246 1607
ANDRES Quercus glaucescens 16.92750000000 -94.99440000000 201 248 1795
ANDRES Quercus glaucescens 16.83830000000 -94.97890000000 201 251 1424
ANDRES Quercus glaucescens 16.99810000000 -95.12670000000 229 242 1559
ANDRES Quercus glaucescens 16.94810000000 -95.12530000000 401 236 1412
ANDRES Quercus glaucescens 16.76380000000 -94.83420000000 401 247 1154
ANDRES Quercus glaucescens 16.07420000000 -96.00720000000 927 236 1284
ANDRES Quercus glaucescens 17.25140000000 -95.70640000000 401 236 2493
ANDRES Quercus glaucescens 16.89920000000 -94.69780000000 201 252 2108
ANDRES Quercus glaucescens 16.88640000000 -94.69140000000 201 248 2050
ANDRES Quercus glaucescens 16.91140000000 -94.68940000000 201 248 2238
ANDRES Quercus glaucescens 16.90140000000 -94.68220000000 201 253 2186
ANDRES Quercus glaucescens 16.88420000000 -94.66720000000 201 247 2054
ANDRES Quercus glaucescens 16.92190000000 -94.65220000000 201 247 2318
ANDRES Quercus glaucescens 16.91350000000 -94.59360000000 275 240 2019
ANDRES Quercus glaucescens 16.74490000000 -94.97120000000 201 250 1099
ANDRES Quercus glaucescens 16.83530000000 -95.19010000000 673 226 1385
ANDRES Quercus glaucescens 16.14060000000 -97.18450000000 1029 231 1434
ANDRES Quercus glaucescens 16.13810000000 -97.01540000000 1001 215 1243
ANDRES Quercus glaucescens 17.21450000000 -95.73160000000 418 231 2455
ANDRES Quercus glaucescens 17.26250000000 -95.66780000000 201 245 2481
ANDRES Quercus glaucescens 17.24430000000 -95.56350000000 349 243 2462
ANDRES Quercus glaucescens 17.23890000000 -95.53390000000 401 240 2388
ANDRES Quercus glaucescens 17.23730000000 -95.56010000000 401 239 2413
ANDRES Quercus glaucescens 17.04260000000 -95.52870000000 754 215 2332
ANDRES Quercus glaucescens 17.08190000000 -95.43860000000 590 228 1924
ANDRES Quercus glaucescens 17.09100000000 -95.83080000000 836 201 2666
ANDRES Quercus glaucescens 15.89080000000 -96.47940000000 432 248 1377
ANDRES Quercus glaucescens 15.89420000000 -96.81780000000 601 241 1477
ANDRES Quercus glaucescens 16.03540000000 -96.06640000000 630 249 1260
ANDRES Quercus glaucescens 16.03360000000 -96.06640000000 645 249 1260
ANDRES Quercus glaucescens 15.88140000000 -96.38750000000 566 241 1625
ANDRES Quercus glaucescens 16.65030000000 -97.84890000000 1001 232 1649
ANDRES Quercus glaucescens 17.03720000000 -97.88890000000 996 228 1447
ANDRES Quercus glaucescens 16.73310000000 -97.74250000000 1009 227 1491
ANDRES Quercus glaucescens 16.58890000000 -98.00690000000 601 250 1961
ANDRES Quercus glaucescens 16.52580000000 -95.68040000000 1447 181 1202
ANDRES Quercus glaucescens 16.73670000000 -95.55920000000 1046 198 1406
ANDRES Quercus glaucescens 16.86340000000 -95.56000000000 602 239 1223
ANDRES Quercus glaucescens 18.04000000000 -96.89690000000 1600 199 1924
ANDRES Quercus glaucescens 17.75000000000 -96.55560000000 801 215 2463
ANDRES Quercus glaucescens 17.83470000000 -96.53280000000 620 223 2997
ANDRES Quercus glaucescens 17.78920000000 -96.50780000000 780 216 2880
ANDRES Quercus glaucescens 17.84060000000 -96.50640000000 396 238 3573
ANDRES Quercus glaucescens 17.76940000000 -96.47860000000 609 222 2913
ANDRES Quercus glaucescens 17.93890000000 -96.16060000000 201 245 3335
ANDRES Quercus glaucescens 17.99280000000 -96.18420000000 201 250 3083
ANDRES Quercus glaucescens 18.02390000000 -96.18110000000 201 250 2942
ANDRES Quercus glaucescens 17.74580000000 -96.32010000000 379 230 3495
ANDRES Quercus glaucescens 17.75590000000 -96.30770000000 201 242 3948
ANDRES Quercus glaucescens 17.33800000000 -96.18430000000 1015 195 1706
ANDRES Quercus glaucescens 17.36110000000 -96.17500000000 1151 189 1973
ANDRES Quercus glaucescens 16.01640000000 -95.96690000000 675 249 1143
ANTERIOR Quercus glaucescens 15.73330000000 -96.45000000000 201 268 819
ANTERIOR Quercus glaucescens 17.45000000000 -95.75000000000 201 245 2805
ANTERIOR Quercus glaucescens 15.86060000000 -96.46590000000 392 256 1138
ANTERIOR Quercus glaucescens 15.91670000000 -96.46670000000 780 236 1735
ANDRES Quercus glaucoides 17.11750000000 -96.70660000000 1905 180 733
ANDRES Quercus glaucoides 17.11970000000 -96.70560000000 1916 180 733
ANDRES Quercus glaucoides 17.11920000000 -96.68970000000 1953 177 740
ANDRES Quercus glaucoides 17.06960000000 -96.60750000000 1753 179 687
ANDRES Quercus glaucoides 17.10890000000 -96.63600000000 1887 168 764
ANDRES Quercus glaucoides 16.86500000000 -96.14630000000 1503 185 962
ANDRES Quercus glaucoides 17.97900000000 -97.44590000000 2082 163 611
ANDRES Quercus glaucoides 17.99500000000 -97.44390000000 2171 153 572
ANDRES Quercus glaucoides 17.91310000000 -96.90860000000 1559 170 1158
ANDRES Quercus glaucoides 17.69220000000 -96.73970000000 1236 207 1310
ANDRES Quercus glaucoides 17.70560000000 -96.72000000000 1370 205 1389
ANDRES Quercus glaucoides 17.56170000000 -96.94710000000 1802 171 706
ANDRES Quercus glaucoides 16.54920000000 -96.66610000000 1607 201 583
ANDRES Quercus glaucoides 16.60560000000 -96.88960000000 1647 210 801
ANDRES Quercus glaucoides 17.19860000000 -96.89400000000 1801 191 738
ANDRES Quercus glaucoides 17.20810000000 -96.88710000000 1801 185 779
ANDRES Quercus glaucoides 17.04720000000 -96.91020000000 2001 177 828
ANDRES Quercus glaucoides 17.05170000000 -96.89440000000 1809 178 818
ANDRES Quercus glaucoides 17.28140000000 -96.93670000000 1801 185 775
ANDRES Quercus glaucoides 17.32890000000 -96.93320000000 1801 179 770
ANDRES Quercus glaucoides 17.42440000000 -97.01250000000 1601 200 528
ANDRES Quercus glaucoides 17.33060000000 -96.87380000000 2012 165 751
ANDRES Quercus glaucoides 17.31940000000 -96.87310000000 2000 173 766
ANDRES Quercus glaucoides 17.04720000000 -96.92140000000 2197 170 816
ANDRES Quercus glaucoides 17.04860000000 -96.89750000000 1955 170 808
ANDRES Quercus glaucoides 17.15780000000 -96.86870000000 1801 188 760
ANDRES Quercus glaucoides 17.72150000000 -97.89580000000 1755 196 794
ANDRES Quercus glaucoides 17.82920000000 -97.82720000000 1944 187 766
ANDRES Quercus glaucoides 17.71560000000 -97.63720000000 2200 168 730
ANDRES Quercus glaucoides 17.67960000000 -98.07140000000 1601 208 849
ANDRES Quercus glaucoides 18.01690000000 -97.66720000000 2001 165 659
ANDRES Quercus glaucoides 18.03500000000 -97.62110000000 2209 152 617
ANDRES Quercus glaucoides 18.04670000000 -97.71720000000 2001 167 661
ANDRES Quercus glaucoides 18.03440000000 -97.68280000000 2001 166 657
ANDRES Quercus glaucoides 18.05390000000 -97.60500000000 2102 158 606
ANDRES Quercus glaucoides 18.19560000000 -97.72390000000 1801 184 621
ANDRES Quercus glaucoides 17.95390000000 -97.68310000000 1809 186 720
ANDRES Quercus glaucoides 17.64100000000 -97.97430000000 1603 207 788
ANDRES Quercus glaucoides 17.61190000000 -97.66970000000 1801 188 736
ANDRES Quercus glaucoides 17.30060000000 -96.45360000000 1837 167 933
ANDRES Quercus glaucoides 17.31750000000 -96.43240000000 2403 138 1356
ANDRES Quercus glaucoides 17.43420000000 -96.56520000000 1597 174 933
ANDRES Quercus glaucoides 17.47030000000 -96.64810000000 2831 123 1832
ANDRES Quercus glaucoides 17.28190000000 -96.54080000000 1976 157 838
ANDRES Quercus glaucoides 17.52080000000 -96.59360000000 1363 188 1124
ANDRES Quercus glaucoides 17.58690000000 -96.58110000000 2180 158 1322
ANDRES Quercus glaucoides 17.21830000000 -96.57330000000 2210 149 954
ANDRES Quercus glaucoides 16.29080000000 -97.11360000000 1264 206 1284
ANDRES Quercus glaucoides 17.33420000000 -97.79690000000 2132 169 1069
ANDRES Quercus glaucoides 16.23830000000 -96.86220000000 1615 194 909
ANDRES Quercus glaucoides 16.31670000000 -96.30250000000 1801 173 838
ANDRES Quercus glaucoides 16.30250000000 -96.28530000000 2171 150 1314
ANDRES Quercus glaucoides 16.30170000000 -96.30030000000 1818 169 966
ANDRES Quercus glaucoides 16.30250000000 -96.28560000000 2171 150 1314
ANDRES Quercus glaucoides 16.17060000000 -96.64360000000 1835 189 885
ANDRES Quercus glaucoides 16.23330000000 -96.62690000000 1814 183 893
ANDRES Quercus glaucoides 16.23610000000 -96.52810000000 2201 157 1583
ANDRES Quercus glaucoides 16.24810000000 -96.53420000000 2188 153 1519
ANDRES Quercus glaucoides 17.03690000000 -95.98890000000 2166 147 1699
ANDRES Quercus glaucoides 17.71670000000 -97.12310000000 2201 150 708
ANDRES Quercus glaucoides 17.28310000000 -97.11470000000 2001 173 888
ANDRES Quercus glaucoides 16.68000000000 -96.56000000000 1782 184 610
ANDRES Quercus glaucoides 17.67640000000 -96.55710000000 2098 148 1588
ANDRES Quercus glaucoides 17.46160000000 -98.04490000000 2201 168 1076
ANDRES Quercus glaucoides 17.47330000000 -98.03280000000 2001 174 1030
ANDRES Quercus glaucoides 17.74690000000 -98.27970000000 1801 193 891
ANDRES Quercus glaucoides 17.61690000000 -98.18860000000 1429 212 907
ANDRES Quercus glaucoides 17.78720000000 -98.31560000000 1687 200 897
ANDRES Quercus glaucoides 16.59250000000 -96.89360000000 1751 202 815
ANDRES Quercus glaucoides 16.55560000000 -95.70390000000 1256 184 1181
