ESPECIE	LONGITUD	LATITUD
acatenangensis	-91.77388889	16.54111111
acatenangensis	-92.25444444	16.26861111
acatenangensis	-91.67000000	16.08666667
acatenangensis	-92.27000000	15.47000000
acatenangensis	-92.68638889	15.33888889
acatenangensis	-89.85000000	14.35000000
acatenangensis	-87.06694444	14.22111111
acatenangensis	-87.09138889	14.04138889
acatenangensis	-85.93333333	13.05000000
acatenangensis	-85.93333333	13.01666667
acatenangensis	-85.91666667	13.00000000
acatenangensis	-85.92083333	12.98888889
acatenangensis	-86.38333333	12.96666667
acatenangensis	-87.07527778	14.02527778
acatenangensis	-91.85000000	16.43666667
acatenangensis	-91.72000000	16.12000000
acatenangensis	-90.20444444	15.18361111
acatenangensis	-90.10527778	14.57472222
acatenangensis	-88.68333333	14.55000000
acatenangensis	-89.15000000	14.35000000
acatenangensis	-89.99620000	14.32620000
acatenangensis	-89.12510000	13.91730000
acatenangensis	-92.60750000	15.55111111
acatenangensis	-92.68861111	15.52277778
acatenangensis	-91.88333333	15.08333333
acatenangensis	-91.51666667	14.88333333
acatenangensis	-90.86833333	14.55638889
acatenangensis	-90.85527778	14.55000000
acatenangensis	-92.82750000	16.72000000
acatenangensis	-92.78445833	16.73927500
acatenangensis	-92.58388889	16.75027778
acatenangensis	-92.57640000	16.81807778
acatenangensis	-92.50694444	16.81694444
acatenangensis	-91.67537778	16.08852222
acatenangensis	-92.67805556	15.51055556
acatenangensis	-92.60750000	15.54888889
acatenangensis	-92.34694444	15.45805556
acatenangensis	-92.69611111	16.74583333
acatenangensis	-91.41680000	15.55230000
acatenangensis	-91.77190000	15.12340000
acatenangensis	-91.87240000	15.14350000
acatenangensis	-91.97300000	15.14350000
acatenangensis	-91.75850000	15.27760000
acatenangensis	-91.54410000	14.96930000
acatenangensis	-91.63120000	15.02290000
acatenangensis	-91.64460000	14.96260000
acatenangensis	-91.71160000	15.01620000
acatenangensis	-91.56420000	15.05640000
acatenangensis	-91.37660000	15.36470000
acatenangensis	-91.43690000	15.26420000
acatenangensis	-91.38330000	15.13010000
acatenangensis	-91.45700000	15.14350000
acatenangensis	-90.65290000	14.99610000
acatenangensis	-90.78690000	14.99610000
acatenangensis	-90.82040000	14.85540000
acatenangensis	-90.92760000	14.88220000
acatenangensis	-90.67300000	14.86880000
acatenangensis	-90.67970000	14.72810000
acatenangensis	-90.71320000	14.70800000
acatenangensis	-90.71320000	14.78840000
acherdophylla	-98.10000000	20.11666667
acherdophylla	-97.23333333	19.73333333
acherdophylla	-97.98333333	20.10000000
acherdophylla	-97.24000000	19.06777778
acherdophylla	-98.22555556	20.33750000
acherdophylla	-98.15000000	20.26666667
acherdophylla	-98.20000000	20.23333333
acherdophylla	-98.20000000	20.15000000
acherdophylla	-98.31666667	20.10000000
acherdophylla	-98.22138889	20.21861111
acherdophylla	-98.20555556	20.15833333
acherdophylla	-98.13638889	20.13166667
acherdophylla	-98.14361111	20.29222222
acherdophylla	-98.20833333	20.24888889
acherdophylla	-98.21166667	20.23916667
acherdophylla	-98.05277778	20.11944444
acherdophylla	-97.48675833	19.77645833
acherdophylla	-97.07127778	18.29256667
acherdophylla	-98.20694444	20.27000000
acutifolia	-104.98333333	21.48333333
acutifolia	-104.25000000	19.73666667
acutifolia	-103.70000000	19.45000000
acutifolia	-104.10000000	19.42333333
acutifolia	-103.69000000	19.42000000
acutifolia	-98.22000000	19.05000000
acutifolia	-100.47000000	19.03666667
acutifolia	-103.17333333	18.77000000
acutifolia	-97.36666667	18.23333333
acutifolia	-97.37333333	18.07333333
acutifolia	-97.33333333	18.05000000
acutifolia	-97.13333333	17.83333333
acutifolia	-99.07000000	17.58666667
acutifolia	-100.17333333	17.57333333
acutifolia	-99.64000000	17.55000000
acutifolia	-97.48972222	17.51972222
acutifolia	-99.46833333	17.43361111
acutifolia	-97.69000000	17.39000000
acutifolia	-99.55611111	17.38722222
acutifolia	-97.68722222	17.26805556
acutifolia	-96.40000000	17.26666667
acutifolia	-96.20000000	17.17333333
acutifolia	-96.72000000	17.07000000
acutifolia	-96.25000000	16.65000000
acutifolia	-96.25833333	17.09166667
acutifolia	-104.82222222	20.38055556
acutifolia	-104.02333333	19.42500000
acutifolia	-103.37833333	19.25166667
acutifolia	-102.07833333	19.35166667
acutifolia	-101.80000000	19.46333333
acutifolia	-100.34833333	19.34166667
acutifolia	-100.17166667	19.86166667
acutifolia	-99.84000000	17.65166667
acutifolia	-99.68500000	17.55833333
acutifolia	-99.17666667	17.59861111
acutifolia	-98.72500000	20.78500000
acutifolia	-98.62833333	20.72833333
acutifolia	-98.57333333	20.65166667
acutifolia	-98.22666667	20.33500000
acutifolia	-98.08980556	17.27466667
acutifolia	-98.01722222	18.95555556
acutifolia	-97.99555556	17.34916667
acutifolia	-97.82972222	17.30472222
acutifolia	-97.73666667	18.39666667
acutifolia	-97.68000000	17.26833333
acutifolia	-97.56666667	17.68666667
acutifolia	-97.36166667	17.72666667
acutifolia	-96.94666667	19.59000000
acutifolia	-96.92333333	17.51000000
acutifolia	-96.90000000	16.44500000
acutifolia	-100.20358611	19.19807778
acutifolia	-100.14573611	19.15060000
acutifolia	-99.72140833	17.53451667
acutifolia	-99.45409722	17.54585833
acutifolia	-97.43757500	17.58266389
acutifolia	-97.15700833	17.33128056
acutifolia	-100.13333333	19.05000000
acutifolia	-104.25000000	19.73333333
acutifolia	-103.70111111	19.45250000
acutifolia	-100.16666667	17.56666667
acutifolia	-99.54388889	17.37944444
acutifolia	-99.46500000	17.43361111
acutifolia	-97.36666667	18.06666667
acutifolia	-96.20000000	17.16666667
acutifolia	-104.79011111	20.27428056
acutifolia	-104.78681389	20.25649722
acutifolia	-104.25846111	19.57784444
acutifolia	-103.73333333	19.45000000
acutifolia	-103.70500000	19.45694444
acutifolia	-103.68666667	19.42583333
acutifolia	-103.68333333	19.43333333
acutifolia	-103.61333333	19.51833333
acutifolia	-100.92250000	19.66611111
acutifolia	-99.68556111	17.55666944
acutifolia	-99.64223333	17.55724167
acutifolia	-99.27666944	17.55694444
acutifolia	-99.23897222	17.55944444
acutifolia	-97.54806111	18.15693889
acutifolia	-97.41666667	17.70000000
acutifolia	-97.14975000	16.28409167
acutifolia	-105.06666667	20.38333333
acutifolia	-104.60000000	19.60000000
acutifolia	-104.43333333	19.60000000
acutifolia	-103.90000000	19.58333333
acutifolia	-103.75000000	19.31666667
acutifolia	-101.87666667	19.51277778
acutifolia	-100.33333333	19.34166667
acutifolia	-100.16666667	17.46666667
acutifolia	-100.16666667	19.85000000
acutifolia	-100.10000000	19.21666667
acutifolia	-98.93333333	17.55000000
acutifolia	-98.59000000	20.63944444
acutifolia	-98.21666667	20.33333333
acutifolia	-97.66666667	17.26666667
acutifolia	-96.96666667	19.48333333
acutifolia	-96.96666667	19.52500000
acutifolia	-96.95000000	19.56666667
acutifolia	-96.95000000	19.61666667
acutifolia	-96.94333333	19.51250000
acutifolia	-96.94277778	19.51083333
acutifolia	-96.92500000	19.53500000
acutifolia	-96.91666667	19.53333333
acutifolia	-96.85000000	19.68333333
acutifolia	-96.81666667	19.65000000
acutifolia	-96.55000000	17.53333333
acutifolia	-102.36333333	19.33666667
acutifolia	-101.98000000	19.59500000
acutifolia	-101.73666667	19.67166667
acutifolia	-101.66500000	19.44166667
acutifolia	-101.53666667	19.40000000
acutifolia	-100.85722222	19.71694444
acutifolia	-100.85333333	19.67500000
acutifolia	-100.82833333	19.70000000
acutifolia	-100.82694444	19.85833333
acutifolia	-100.64166667	19.78166667
